id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
254947180,79556696,15669,3095740,356120,150968000,53304400,0.115036,17.2187,17.1816,0.375207
254950542,79556696,16439,3300450,372727,163666000,58057700,0.112932,17.5909,17.7665,0.199405
254947463,79556696,15698,176760,25801.3,10123500,3930340,0.145968,22.2355,22.7198,0.256913
254949347,79556696,16163,11911800,1331950,640712000,215752000,0.111818,18.1125,18.1473,0.340406
254951861,79556696,16759,11748.3,948.51,509538,144141,0.0807357,12.2691,0,0
254943936,79556696,364,294458,38056.5,15143800,5805130,0.129243,19.7146,19.6844,0.127282
254954118,79556696,17603,33989.8,2860.58,1655870,447798,0.08416,13.1745,0,0
254946187,79556696,1008,5784910,658177,287445000,106532000,0.113775,18.4155,18.4427,0.185124
254951790,79556696,16726,5914920,596926,285255000,93640700,0.100919,15.8313,15.8586,0.253683
254947124,79556696,15628,839179,80434.7,38668600,11075800,0.0958492,13.1984,13.1974,0.423101
254951713,79556696,16696,648794,81449.6,36928000,12482700,0.12554,19.2398,19.3879,0.181541
254954021,79556696,17470,932238,77030.8,34856100,11457700,0.0826299,12.2906,12.2722,0.18834
254954227,79556696,111220932,29930.8,3183.56,1298560,517265,0.106364,17.282,0,0
254945908,79556696,938,3543110,317869,134369000,48325900,0.0897147,13.6394,13.7414,0.277783
254946269,79556696,1045,304359,42707.8,18208700,6785260,0.140321,22.2936,22.3881,0.203782
254953849,79556696,17379,1485840,128241,54393500,18991100,0.0863082,12.7814,12.6958,0.178078
254950371,79556696,16396,22769000,2523910,1135480000,389027000,0.110849,17.0858,17.1414,0.237118
254944247,79556696,450,2222130,166497,101274000,29320100,0.0749266,13.1946,13.2813,0.536087
254950531,79556696,16435,1032190,101228,49686200,16109900,0.0980711,15.6076,15.6193,0.221296
254949390,79556696,16171,4210600,355193,195679000,58520700,0.084357,13.8984,13.9724,0.407308
254954074,79556696,17536,730079,72792.4,30985200,11203900,0.0997048,15.3462,15.3705,0.266804
254948096,79556696,15863,1221250,51769.8,37422900,7951590,0.0423909,6.51103,6.35887,0.547423
254944724,79556696,564,2163680,261284,110797000,39806800,0.120759,18.3977,18.3608,0.195118
