id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
189568102,3,17122,69938,7337.92,2776560,1108010,0.10492,15.8428,15.8428,0.0523479
189550817,3,407,8742250,858574,333104000,129564000,0.0982098,14.8204,14.8204,0.255723
189562503,3,16115,14756900,1297500,541440000,205389000,0.087925,13.9181,13.9181,0.447853
189560827,3,15979,18519100,1741440,645784000,264365000,0.0940348,14.2752,14.1963,0.538374
189565861,3,16726,5979700,659881,237265000,95908300,0.110354,16.039,16.039,0.191229
189556077,3,907,979132,107162,39089200,14449500,0.109446,14.7574,14.7574,0.08411
189556863,3,1070,11469800,1794540,559765000,249127000,0.156457,21.7202,21.7202,0.0554981
189566908,3,16920,65262100,2735320,2191880000,403990000,0.0419129,6.19027,6.17639,0.436935
189569099,3,17300,1119010,141811,49963800,21046500,0.126729,18.8082,18.8082,0.197412
189569555,3,17436,137538,14619.4,5024230,2544850,0.106294,18.5029,18.3771,0.332274
189557828,3,15594,69938,10100.3,3357760,1369900,0.144417,19.5874,19.5874,0.0278839
189565236,3,16680,13777800,1339910,555180000,178658000,0.0972518,12.9671,12.9671,0.236245
189568706,3,17257,1454520,132148,55885300,21459400,0.0908532,14.7536,14.6947,0.195458
189563458,3,16330,454597,47332.4,18355300,6655990,0.10412,14.6415,14.6415,0.120923
189568369,3,17183,1153930,115520,46414600,18043000,0.100109,15.6361,15.636,0.146268
189550355,3,333,349690,37766.7,14692100,4944520,0.108,14.1397,14.1397,0.0643631
189550033,3,312,804287,126026,38708000,18898100,0.156692,23.4968,23.4968,0.122466
189551638,3,496,489566,53868.4,18060400,7584660,0.110033,15.4926,15.4926,0.146209
189549596,3,148,454541,78755.8,21850900,11511700,0.173264,25.3259,25.3259,0.0615638
189564113,3,16494,174845,21538.7,7477050,3012590,0.123188,17.23,17.23,0.0639168
189566966,3,16953,664411,44510.6,22567500,6805160,0.0669926,10.2424,10.2424,0.37125
189564712,3,16597,174845,21788.5,7136920,2950930,0.124616,16.8774,16.8774,0.117812
189570992,3,111220798,1391800,124465,45240200,19973500,0.0894272,14.3508,14.0363,0.475787
189559903,3,15884,104907,9100.04,3938870,1317760,0.0867439,12.5612,12.5612,0.104409
189559912,3,15893,2762070,332176,111187000,47256100,0.120264,17.1089,17.1069,0.347816
189562680,3,16146,384659,25784,11929700,4188560,0.0670309,10.889,10.889,0.420565
189550690,3,381,6783990,495862,217258000,73562100,0.073093,10.8435,10.8435,0.317903
189556427,3,993,42426700,5856250,1798760000,864242000,0.138032,20.3702,20.3192,0.301195
189562852,3,16193,1084040,124083,46791600,17447300,0.114463,16.0947,16.0947,0.192289
189556051,3,903,1398760,137163,57937500,20961400,0.0980603,14.9857,14.9857,0.276105
189551880,3,520,2133110,313431,104096000,43508700,0.146936,20.3969,20.3969,0.0853722
189553450,3,631,10858500,935135,310524000,140294000,0.08612,12.9202,12.8412,0.628031
189561556,3,16038,6434300,869064,295562000,125258000,0.135067,19.4672,19.4672,0.241994
189564088,3,16486,4860690,504077,189159000,71714300,0.103705,14.7539,14.7539,0.218822
189571077,3,111220868,104907,11143.2,4644250,1570140,0.106219,14.967,14.967,0.226019
189559978,3,15902,419185,52306.9,16623900,7511120,0.124782,17.9184,17.9051,0.311998
189568401,3,17202,34969,3160.46,1249330,476572,0.0903789,13.6284,0,0
189549874,3,269,524535,73949.1,24766500,10744700,0.14098,20.4843,20.4843,0.135169
189564983,3,16635,244783,28439.7,10042500,4288580,0.116183,17.5199,17.5199,0.0509989
189570659,3,17645,339907,18943.5,9482770,2978890,0.0557315,8.76384,8.58154,0.749997
189555700,3,857,2098140,312204,97150000,43862100,0.1488,20.9052,20.9052,0.131837
189567339,3,17039,1328820,102249,46446500,15102900,0.0769473,11.3656,11.3656,0.257432
